,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ilulissat,100,GL,1573766553,39,69.22,-51.1,44.6,27.51
1,ziniare,1,BF,1573766555,23,12.58,-1.3,86.0,7.02
2,inhambane,100,MZ,1573766555,81,-23.87,35.38,77.22,10.98
3,vila velha,75,IT,1573766556,93,45.18,8.4,48.99,12.75
4,yellowknife,75,CA,1573766556,76,62.45,-114.38,-5.01,3.36
5,cuamba,80,MZ,1573766556,48,-14.8,36.54,79.72,3.42
6,busselton,0,AU,1573766556,50,-33.64,115.35,59.0,15.08
7,padang,100,ID,1573766557,95,-0.92,100.36,67.44,4.12
8,east london,56,UG,1573766557,78,3.43,31.7,71.71,1.77
9,vaini,0,IN,1573766557,89,15.34,74.49,65.46,5.73
10,butaritari,69,KI,1573766557,74,3.07,172.79,84.09,7.96
11,severodvinsk,90,RU,1573766558,100,64.56,39.82,35.6,4.47
12,tiksi,0,RU,1573766558,97,71.64,128.87,-13.9,2.04
13,lebu,67,ET,1573766558,77,8.96,38.73,52.66,1.72
14,touros,20,BR,1573766559,74,-5.2,-35.46,78.8,13.87
15,mataura,35,NZ,1573766559,58,-46.19,168.86,57.0,11.99
16,hermanus,68,ZA,1573766559,98,-34.42,19.24,66.0,13.51
17,colares,20,PT,1573766560,66,38.8,-9.45,53.6,11.41
18,rikitea,5,PF,1573766560,79,-23.12,-134.97,71.04,22.24
19,saskylakh,100,RU,1573766560,96,71.97,114.09,-10.17,14.12
20,bredasdorp,12,ZA,1573766560,93,-34.53,20.04,66.2,4.07
21,cidreira,47,BR,1573766561,88,-30.17,-50.22,71.73,21.27
22,cape town,68,CL,1573766564,38,-36.41,-71.9,77.0,13.87
23,marzuq,5,YE,1573766565,34,14.4,46.47,65.14,3.18
24,kutum,100,SD,1573766566,21,14.2,24.66,73.4,3.27
25,hofn,0,IS,1573766566,57,64.25,-15.21,36.16,8.01
26,san cristobal,0,ML,1573766407,20,13.3,-4.9,82.11,6.69
27,aklavik,90,CA,1573766566,83,68.22,-135.01,-7.6,5.82
28,bethel,90,US,1573766567,85,60.79,-161.76,12.2,24.16
29,abha,3,SA,1573766567,77,18.22,42.5,62.6,4.7
30,qaanaaq,100,GL,1573766568,57,77.48,-69.36,12.29,5.14
31,constitucion,5,MX,1573766568,34,23.99,-104.67,64.4,3.36
32,lompoc,1,US,1573766568,55,34.64,-120.46,68.0,6.93
33,choszczno,90,PL,1573766568,93,53.17,15.42,39.0,10.29
34,zharkent,95,KZ,1573766568,34,44.17,80.0,39.54,6.85
35,chokurdakh,94,RU,1573766569,97,70.62,147.9,-1.7,1.03
36,isangel,75,VU,1573766569,73,-19.55,169.27,75.2,9.17
37,severo-kurilsk,97,RU,1573766569,92,50.68,156.12,31.91,6.49
38,kapaa,1,US,1573766283,74,22.08,-159.32,84.2,3.36
39,kodiak,1,US,1573766570,38,39.95,-94.76,45.0,12.75
40,port elizabeth,64,CD,1573766570,66,-7.04,29.76,79.63,9.82
41,port alfred,64,CD,1573766570,66,-7.04,29.76,79.63,9.82
42,katsuura,20,JP,1573766570,70,33.93,134.5,44.6,9.17
43,tutoia,6,BR,1573766571,70,-2.76,-42.27,84.2,18.34
44,buenavista,75,CO,1573766571,94,4.36,-75.74,68.0,9.17
45,lagoa,0,PT,1573766571,76,37.14,-8.45,55.99,10.29
46,surt,0,LY,1573766573,33,31.21,16.59,63.5,6.98
47,ibaiti,100,BR,1573766575,84,-23.85,-50.19,70.0,5.99
48,tanuma,20,JP,1573766576,79,36.37,139.58,57.99,8.01
49,new norfolk,75,LR,1573766576,94,6.65,-10.59,77.0,1.99
50,nikolskoye,75,RU,1573766576,93,59.7,30.79,50.0,6.71
51,chateaudun,69,FR,1573766576,100,48.08,1.33,42.01,5.82
52,ahuimanu,75,US,1573766576,69,21.44,-157.84,84.2,9.17
53,bonoua,75,CI,1573766577,88,5.27,-3.6,78.8,4.7
54,khatanga,99,RU,1573766577,97,71.98,102.47,-13.92,12.41
55,jamestown,11,AU,1573766577,86,-33.21,138.6,49.03,5.73
56,hilo,75,US,1573766578,52,19.71,-155.08,87.8,5.82
57,albany,75,US,1573766578,47,42.65,-73.75,37.0,10.29
58,airai,0,TL,1573766578,45,-8.93,125.41,67.82,4.16
59,hithadhoo,95,MV,1573766578,78,-0.6,73.08,82.27,7.52
60,chapais,90,CA,1573766578,85,49.78,-74.86,19.4,12.75
61,rocha,52,UY,1573766578,82,-34.48,-54.34,62.58,13.42
62,derzhavinsk,33,KZ,1573766579,90,51.1,66.31,10.35,12.64
63,castro,90,CL,1573766579,100,-42.48,-73.76,55.4,14.99
64,mar del plata,0,CN,1573766579,25,29.86,90.73,24.69,3.87
65,ostrovnoy,100,RU,1573766579,97,68.05,39.51,34.54,11.77
66,labuhan,100,ID,1573766580,96,-2.54,115.51,70.9,1.95
67,plock,40,PL,1573766580,100,52.55,19.71,37.99,4.7
68,champerico,40,MX,1573766580,51,16.38,-93.6,82.4,5.82
69,sitka,0,US,1573766580,42,37.17,-99.65,55.99,1.99
70,anshun,23,CN,1573766581,88,26.25,105.93,47.79,2.95
71,mahebourg,75,MU,1573766581,73,-20.41,57.7,75.2,5.82
72,ust-tsilma,100,RU,1573766581,94,65.44,52.15,26.22,8.81
73,faanui,0,PF,1573766581,79,-16.48,-151.75,79.65,19.24
74,necochea,0,AR,1573766581,69,-38.55,-58.74,64.0,4.0
75,hasaki,75,JP,1573766582,71,35.73,140.83,51.8,5.82
76,punta arenas,75,PH,1573766583,88,14.18,121.12,78.8,2.24
77,mangrol,0,IN,1573766586,50,25.33,76.51,70.18,3.31
78,bowen,75,AU,1573766586,83,-20.01,148.25,81.0,3.36
79,marawi,0,PH,1573766587,84,8.0,124.29,73.99,5.99
80,brzesko,90,PL,1573766587,93,49.97,20.61,44.6,8.05
81,eydhafushi,100,MV,1573766587,76,5.1,73.07,82.85,9.19
82,taltal,0,CL,1573766588,69,-25.41,-70.49,62.78,6.42
83,abu dhabi,0,JP,1573766588,68,34.51,131.49,37.99,3.0
84,dudinka,40,RU,1573766588,74,69.41,86.18,-22.0,2.24
85,menongue,100,AO,1573766588,93,-14.66,17.68,64.98,6.6
86,nanortalik,100,GL,1573766588,68,60.14,-45.24,35.92,36.37
87,longkou,0,CN,1573766589,46,37.64,120.47,42.24,2.71
